"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND1",3.42734250320665e-146,-1.39687976755299,0.871,0.933,1.15847603950888e-141
"MT-CO2",2.34507507567192e-136,-1.13376383829899,0.956,0.975,7.92658826327866e-132
"MT-ATP6",4.78742942663785e-136,-1.28879021209564,0.949,0.974,1.61819902049786e-131
"IFI6",9.13756086217829e-134,-2.03912797395071,0.167,0.489,3.08858694702488e-129
"MT-ND2",3.09825713452148e-131,-1.3152471604622,0.882,0.942,1.04724189403961e-126
"PLCG2",2.51163622592691e-118,4.40354970895945,0.567,0.172,8.48958160725554e-114
"MT-CYB",1.63292017787271e-112,-1.18406882755254,0.912,0.957,5.51943349322755e-108
"MT-ND3",8.05719345477344e-110,-1.24535859548142,0.942,0.965,2.72341195964797e-105
"MT-ND4",8.75173054025442e-108,-1.01393333373955,0.951,0.966,2.9581724399114e-103
"MTRNR2L12",7.99315437064461e-103,2.40776893243574,0.537,0.176,2.70176610882159e-98
"MT-CO3",1.77696677705749e-72,-0.737435656285677,0.953,0.976,6.00632540313202e-68
"MT-ND5",5.68972610580258e-71,-0.833396320174135,0.804,0.889,1.92318432102233e-66
"MT1X",1.39444680385677e-59,1.86654930640517,0.508,0.253,4.71336964171626e-55
"MT-CO1",2.59179752497555e-56,-0.557718421123581,0.959,0.963,8.76053481416984e-52
"MT1H",5.01577951423699e-56,2.12942298862579,0.337,0.099,1.69538363360724e-51
"MT-ND4L",6.53008049640056e-56,-0.823553961038943,0.728,0.815,2.20723250858835e-51
"MT1G",3.65381779349094e-50,2.11527105820716,0.519,0.304,1.23502695237787e-45
"IGFBP7",8.06165807987627e-48,-1.08519050404057,0.582,0.709,2.72492104757898e-43
"S100A2",1.01020016785423e-46,-1.49438678880412,0.43,0.59,3.41457758736408e-42
"NEAT1",3.78914480363431e-46,0.789277830812241,0.856,0.735,1.28076883507643e-41
"MT-ATP8",4.09949587961889e-44,-0.926513754666548,0.572,0.71,1.38567060226998e-39
"BST2",3.71747021830219e-42,-1.20956062584954,0.107,0.259,1.25654210848832e-37
"MT1M",9.13293639993687e-41,1.53208452022865,0.273,0.084,3.08702383254266e-36
"HSPH1",1.42758910887108e-38,0.955920821257415,0.488,0.267,4.82539394689514e-34
"PELI1",3.48193782164131e-35,0.837711817569095,0.299,0.113,1.17692980309298e-30
"BCAM",9.36535055150704e-35,-0.954730552631327,0.213,0.371,3.1655821399149e-30
"GADD45B",2.02379574323444e-33,0.765045003213487,0.433,0.221,6.84063199170672e-29
"DNAJB1",2.11893629327585e-33,0.794436749967533,0.423,0.217,7.1622165649017e-29
"HLA-C",7.94752259148526e-33,-0.802880023356087,0.543,0.645,2.68634211114793e-28
"HLA-A",2.16705551948453e-32,-0.690565322494806,0.645,0.733,7.32486436140965e-28
"HSPA1A",4.1818262724697e-32,0.862719131526461,0.52,0.315,1.41349909835748e-27
"ERO1A",2.46920439919009e-30,1.08941347267639,0.426,0.248,8.34615778970242e-26
"GLUL",2.59796725572487e-30,0.724111332998194,0.481,0.294,8.78138912107563e-26
"HMOX1",2.72397214034211e-30,0.967851434494213,0.293,0.122,9.20729823157037e-26
"C15orf48",3.91002232261748e-29,0.542345751090473,0.432,0.24,1.32162664526794e-24
"HLA-B",1.59368537157795e-28,-0.691036921625292,0.697,0.751,5.38681592447062e-24
"FTL",5.3771101327885e-28,0.857216653628035,0.887,0.827,1.81751699598384e-23
"ATF3",5.48265554299557e-28,0.505872117893293,0.524,0.32,1.85319240008793e-23
